LOANAMOUNT,SEX,AGE,HOUSE,CREDITCARD,JOB,DEPENDENT,TELEPHONE,FOREIGNER,RISK
2734,male,26,own,1,skilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
250,female,25,own,1,skilled,1,none,yes,No Risk
7465,male,48,free,2,skilled,1,yes,yes,No Risk
250,female,19,rent,1,skilled,1,none,yes,No Risk
840,female,30,rent,1,skilled,1,none,yes,No Risk
250,male,45,rent,1,skilled,1,none,yes,No Risk
5485,female,39,own,1,skilled,1,none,yes,Risk
3573,male,58,own,2,unemployed,2,yes,yes,Risk
2246,male,23,rent,1,unemployed,1,yes,yes,No Risk
559,male,22,own,1,skilled,1,none,yes,No Risk
4469,male,34,own,2,skilled,1,yes,yes,No Risk
3298,female,52,own,1,skilled,1,yes,yes,Risk
6096,female,47,free,2,skilled,1,none,no,Risk
2422,female,45,own,1,skilled,1,yes,yes,Risk
2309,female,32,own,1,skilled,1,none,yes,Risk
5832,male,70,free,3,skilled,2,yes,yes,Risk
7306,male,58,own,2,skilled,1,yes,yes,Risk
2410,female,37,own,1,unskilled,1,none,yes,No Risk
7104,male,50,own,1,skilled,2,yes,yes,Risk
2487,female,35,own,1,skilled,1,none,yes,No Risk
7515,male,34,rent,1,unskilled,2,none,yes,No Risk
5740,male,35,own,1,skilled,2,none,yes,No Risk
7686,male,43,free,2,skilled,2,yes,yes,Risk
8073,male,55,own,2,skilled,2,yes,yes,Risk
4293,female,34,own,2,unskilled,1,none,yes,Risk
2949,male,33,rent,2,unskilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
1735,male,34,own,1,skilled,1,none,yes,No Risk
4046,male,31,own,1,skilled,1,none,yes,No Risk
2228,male,43,own,2,skilled,1,none,yes,Risk
250,male,19,own,1,skilled,1,none,yes,No Risk
7624,male,46,own,2,skilled,1,none,yes,No Risk
3511,male,24,rent,1,skilled,2,none,yes,No Risk
3293,male,27,own,2,skilled,1,none,yes,No Risk
1717,male,31,rent,1,skilled,1,none,yes,No Risk
435,female,19,rent,1,skilled,1,none,yes,No Risk
3626,male,22,own,1,skilled,1,none,yes,No Risk
5134,male,43,own,2,skilled,1,yes,yes,Risk
1853,female,37,own,1,unskilled,1,none,yes,No Risk
7305,male,45,free,2,skilled,2,yes,yes,Risk
2411,male,23,own,1,skilled,1,none,yes,No Risk
3691,male,36,own,1,skilled,1,yes,yes,No Risk
2401,male,21,rent,1,unskilled,1,none,yes,No Risk
6824,female,60,free,3,unskilled,2,yes,yes,Risk
3497,male,41,own,2,skilled,1,yes,yes,No Risk
5182,male,48,own,2,skilled,1,yes,yes,No Risk
250,male,33,own,1,skilled,1,yes,yes,No Risk
619,female,19,rent,1,skilled,1,none,yes,No Risk
5308,male,42,own,2,skilled,1,none,yes,No Risk
2266,male,63,own,2,skilled,2,yes,yes,Risk
1080,female,43,rent,1,skilled,1,yes,yes,Risk
3358,female,23,own,1,unskilled,2,yes,yes,No Risk
2878,male,29,own,1,skilled,2,none,yes,No Risk
4088,male,56,own,2,skilled,1,yes,yes,No Risk
1844,female,22,own,1,unskilled,1,none,yes,Risk
5566,male,33,rent,2,unskilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
2949,male,37,own,2,skilled,1,yes,yes,No Risk
2777,male,30,own,1,skilled,1,none,yes,No Risk
250,male,21,rent,1,skilled,1,none,yes,No Risk
8226,male,50,free,2,skilled,1,yes,yes,Risk
333,male,19,rent,1,unskilled,1,none,yes,No Risk
5946,male,57,free,2,unemployed,1,yes,yes,No Risk
2693,female,19,own,1,skilled,1,none,yes,No Risk
286,female,28,rent,1,skilled,1,none,yes,No Risk
2447,female,26,own,1,skilled,1,none,yes,No Risk
1833,female,23,rent,1,skilled,1,none,yes,No Risk
4324,female,50,own,1,skilled,1,yes,yes,No Risk
4331,male,45,own,1,skilled,1,none,yes,Risk
250,female,22,rent,1,skilled,1,none,yes,No Risk
5723,male,45,free,2,skilled,1,yes,no,Risk
6559,female,34,free,1,skilled,1,yes,yes,Risk
2152,male,42,own,1,skilled,1,yes,yes,No Risk
452,male,20,own,1,skilled,1,none,yes,No Risk
250,female,42,rent,1,skilled,1,none,yes,No Risk
5076,male,38,own,2,skilled,1,none,yes,Risk
4486,female,48,own,1,skilled,1,yes,yes,Risk
4334,male,45,own,1,skilled,1,none,yes,No Risk
876,male,38,own,1,skilled,1,none,yes,No Risk
4829,male,41,own,2,skilled,1,yes,yes,No Risk
1475,male,46,own,1,skilled,2,yes,yes,No Risk
3073,male,36,own,1,skilled,1,none,yes,No Risk
2634,female,50,own,1,skilled,1,none,no,Risk
4749,female,42,own,2,skilled,1,none,yes,Risk
3812,female,53,own,1,unskilled,2,yes,yes,Risk
6163,male,49,own,2,skilled,1,none,yes,No Risk
250,male,38,own,2,skilled,1,none,yes,No Risk
3676,male,31,rent,1,skilled,1,none,yes,No Risk
4843,male,39,own,2,unskilled,1,yes,yes,No Risk
4868,female,40,own,1,skilled,1,none,yes,Risk
11676,male,58,free,2,skilled,2,yes,yes,Risk
3355,male,19,rent,1,skilled,1,none,yes,No Risk
3380,female,36,own,2,skilled,1,none,yes,Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
3869,male,43,own,2,skilled,1,yes,yes,Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
9942,male,57,free,2,skilled,2,yes,yes,Risk
1333,male,39,own,1,skilled,1,yes,yes,Risk
1634,male,45,free,2,skilled,1,yes,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
3016,female,35,free,2,skilled,1,none,yes,No Risk
250,female,20,own,1,skilled,1,none,yes,No Risk
1448,male,31,own,1,skilled,1,none,yes,Risk
250,male,24,rent,1,skilled,1,none,yes,No Risk
250,female,23,own,1,skilled,1,none,yes,No Risk
1656,male,30,own,1,skilled,1,yes,yes,Risk
250,male,37,rent,1,skilled,1,none,yes,No Risk
4215,female,40,own,1,skilled,1,none,yes,No Risk
5595,male,35,own,2,unskilled,1,yes,yes,No Risk
990,female,24,rent,1,skilled,1,none,yes,No Risk
6049,male,41,own,2,skilled,1,none,yes,No Risk
5197,male,55,own,2,skilled,1,yes,yes,Risk
4134,female,37,own,3,skilled,1,none,yes,Risk
1733,female,31,rent,1,unskilled,1,none,yes,No Risk
1969,male,29,rent,1,unskilled,1,yes,yes,No Risk
6691,male,39,own,2,skilled,1,yes,yes,No Risk
4478,female,55,own,2,skilled,1,none,yes,No Risk
3736,female,52,free,2,skilled,1,yes,yes,Risk
3165,male,40,own,3,skilled,1,none,yes,Risk
1891,female,19,rent,1,skilled,1,none,yes,No Risk
3851,male,23,own,1,unskilled,1,none,yes,No Risk
2813,male,19,own,2,skilled,1,none,yes,No Risk
496,female,34,rent,1,skilled,1,none,yes,No Risk
250,female,42,own,1,skilled,1,none,yes,No Risk
3147,male,34,own,1,skilled,1,yes,yes,No Risk
2048,female,35,rent,1,skilled,1,none,yes,No Risk
3284,female,33,own,2,skilled,1,none,yes,No Risk
509,male,23,own,1,unemployed,1,yes,yes,No Risk
2175,male,37,rent,1,skilled,1,none,yes,No Risk
1774,male,30,own,1,skilled,1,none,yes,No Risk
1097,male,34,own,1,skilled,1,yes,yes,Risk
250,male,29,rent,1,unemployed,2,none,yes,No Risk
4660,male,20,own,2,skilled,1,none,yes,No Risk
2605,male,40,own,2,skilled,1,yes,yes,No Risk
250,female,30,rent,1,skilled,1,none,yes,No Risk
4801,female,35,own,1,skilled,1,none,yes,Risk
250,male,22,rent,1,skilled,1,none,yes,No Risk
2673,male,31,own,1,skilled,1,none,yes,No Risk
2549,male,36,own,1,skilled,2,yes,yes,No Risk
6415,female,49,own,2,skilled,1,none,yes,No Risk
2083,male,33,free,1,skilled,1,none,yes,No Risk
6669,male,47,free,3,skilled,1,yes,yes,No Risk
675,female,49,own,1,skilled,1,yes,yes,Risk
706,female,19,rent,1,skilled,1,none,yes,No Risk
6204,male,46,own,2,unskilled,2,yes,yes,No Risk
1728,male,30,own,1,unemployed,1,none,yes,No Risk
2776,male,29,own,1,skilled,1,none,yes,No Risk
4109,male,45,own,1,skilled,1,none,yes,No Risk
748,male,27,own,1,skilled,1,none,yes,No Risk
7877,male,56,free,2,skilled,2,yes,yes,Risk
250,male,20,own,1,skilled,1,none,yes,No Risk
3859,male,31,own,1,skilled,1,none,yes,No Risk
4137,male,19,rent,1,unemployed,1,none,yes,No Risk
1283,female,20,rent,1,skilled,1,none,yes,No Risk
1132,female,24,own,1,unskilled,1,none,yes,Risk
7663,female,36,own,2,skilled,1,none,yes,Risk
1241,female,29,own,1,skilled,1,none,yes,No Risk
5668,male,36,own,1,unskilled,1,none,yes,Risk
3170,male,28,rent,1,skilled,1,none,yes,Risk
4417,female,21,own,1,skilled,1,none,yes,No Risk
3074,female,48,free,2,skilled,1,yes,yes,Risk
3010,male,28,own,2,skilled,2,yes,yes,No Risk
250,male,21,rent,1,skilled,1,none,yes,No Risk
3075,male,46,own,1,skilled,2,none,yes,No Risk
2304,male,30,own,1,skilled,1,none,yes,Risk
2696,male,50,own,1,skilled,1,yes,yes,No Risk
4411,male,41,own,2,skilled,1,yes,no,No Risk
331,female,19,rent,1,skilled,1,none,yes,No Risk
1092,male,29,rent,1,unskilled,1,none,yes,No Risk
5465,female,41,free,1,skilled,1,yes,yes,Risk
3797,male,25,own,1,skilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
1212,female,28,own,1,skilled,1,none,yes,No Risk
878,male,31,own,1,skilled,1,none,yes,No Risk
4842,male,49,own,3,skilled,2,yes,yes,Risk
1969,male,25,own,1,skilled,1,none,yes,No Risk
1936,male,24,rent,1,skilled,1,none,yes,No Risk
763,male,19,rent,1,skilled,1,none,yes,No Risk
3902,female,40,own,2,skilled,1,none,yes,Risk
2665,male,37,own,1,unskilled,1,yes,yes,No Risk
5027,male,51,own,2,skilled,1,yes,yes,Risk
250,male,19,rent,1,unemployed,1,yes,yes,No Risk
6033,female,53,own,3,skilled,2,yes,yes,Risk
4701,male,36,own,2,skilled,1,yes,yes,Risk
5243,male,47,own,2,skilled,1,yes,yes,No Risk
5608,female,45,own,2,skilled,2,yes,yes,Risk
626,male,28,rent,1,skilled,1,none,yes,No Risk
983,female,24,own,1,skilled,1,none,yes,No Risk
3939,male,34,own,1,skilled,1,yes,yes,Risk
7352,male,36,own,1,unskilled,2,yes,yes,Risk
3152,female,50,own,1,unskilled,1,none,yes,No Risk
3094,female,31,rent,2,unskilled,1,none,yes,No Risk
4188,male,37,own,2,unemployed,1,none,yes,No Risk
2481,male,47,rent,1,unemployed,1,yes,yes,No Risk
250,female,23,own,1,unemployed,1,none,yes,No Risk
7710,male,43,own,2,skilled,1,yes,yes,No Risk
250,female,30,rent,2,skilled,1,none,yes,No Risk
1368,female,44,own,2,skilled,1,none,yes,No Risk
1975,female,28,own,1,unemployed,1,none,yes,Risk
250,female,33,rent,1,skilled,1,none,yes,No Risk
795,male,27,own,2,skilled,1,yes,yes,No Risk
1092,female,26,own,2,skilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
4036,female,34,own,1,skilled,1,none,yes,No Risk
250,female,19,own,1,skilled,1,none,yes,No Risk
5158,male,42,own,3,skilled,2,yes,yes,Risk
2405,female,31,rent,1,skilled,1,none,yes,No Risk
2431,male,37,free,1,skilled,1,none,yes,No Risk
3420,male,28,own,2,skilled,1,yes,yes,No Risk
462,male,46,own,1,skilled,1,none,yes,No Risk
250,female,37,own,1,skilled,1,none,yes,No Risk
7341,male,40,own,2,skilled,1,yes,yes,Risk
3190,male,29,own,2,skilled,1,yes,yes,No Risk
5871,male,36,own,2,unskilled,2,yes,yes,No Risk
4722,female,37,own,2,skilled,1,yes,no,Risk
2544,female,49,own,2,skilled,1,yes,yes,Risk
6229,male,53,free,2,skilled,1,yes,yes,Risk
435,male,19,rent,1,unskilled,1,none,yes,No Risk
3539,male,35,own,1,skilled,1,yes,yes,No Risk
3280,female,49,own,1,skilled,2,yes,yes,No Risk
250,female,30,rent,1,unemployed,1,none,yes,No Risk
9856,male,53,own,2,skilled,2,yes,yes,Risk
868,female,26,rent,1,skilled,1,none,yes,No Risk
2451,female,41,rent,2,skilled,1,none,yes,No Risk
1099,female,30,own,1,skilled,1,none,yes,No Risk
250,female,50,rent,1,skilled,1,yes,yes,No Risk
4760,male,40,own,2,skilled,1,yes,yes,Risk
3930,male,26,own,1,unskilled,1,yes,yes,No Risk
5993,female,55,own,2,skilled,1,yes,yes,Risk
2517,male,19,own,1,skilled,1,none,yes,No Risk
5602,female,47,own,1,skilled,1,none,yes,Risk
6205,female,48,own,1,skilled,1,none,yes,Risk
4162,male,34,rent,1,unskilled,1,none,yes,Risk
4450,female,43,own,2,skilled,1,yes,yes,Risk
3830,male,37,own,1,skilled,1,yes,yes,Risk
250,male,25,own,1,skilled,1,none,yes,No Risk
4040,male,31,own,2,skilled,1,yes,yes,Risk
1509,female,31,own,1,skilled,1,none,no,No Risk
9574,male,56,free,2,unskilled,2,yes,yes,No Risk
250,female,24,own,1,skilled,1,none,yes,No Risk
5334,male,38,own,1,skilled,2,yes,yes,No Risk
7499,male,37,own,2,unskilled,1,yes,yes,No Risk
3149,female,24,own,1,skilled,1,none,yes,Risk
5100,male,24,own,1,skilled,1,none,yes,No Risk
668,female,38,rent,2,unemployed,1,none,yes,No Risk
4057,male,29,own,1,skilled,1,none,yes,No Risk
4843,female,49,own,1,skilled,1,none,no,Risk
5126,male,47,free,2,skilled,1,none,yes,No Risk
2403,male,30,rent,1,unemployed,1,none,yes,No Risk
2099,female,26,own,1,skilled,1,none,yes,No Risk
5991,male,45,rent,1,unskilled,2,yes,yes,No Risk
466,female,19,rent,1,unskilled,1,none,yes,No Risk
3116,female,21,rent,1,skilled,1,none,yes,No Risk
250,male,34,rent,1,unemployed,1,none,yes,No Risk
4658,male,41,free,2,skilled,1,yes,yes,No Risk
2119,female,30,rent,1,skilled,1,none,yes,No Risk
2659,female,41,own,1,skilled,1,none,yes,Risk
5424,male,52,free,2,skilled,1,yes,yes,Risk
1233,female,26,rent,1,skilled,1,none,yes,No Risk
4073,male,36,own,1,skilled,2,none,yes,No Risk
250,male,23,rent,1,skilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
6474,male,53,own,2,skilled,2,yes,yes,Risk
3437,male,38,own,2,skilled,1,yes,yes,No Risk
1216,male,22,rent,1,skilled,1,none,yes,No Risk
3201,male,35,own,1,skilled,1,none,yes,No Risk
2160,male,32,own,1,skilled,1,yes,yes,No Risk
5070,male,42,own,1,skilled,1,yes,yes,No Risk
5205,male,38,own,2,skilled,1,yes,yes,No Risk
1582,male,34,own,1,skilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
1166,male,33,own,1,unskilled,1,yes,yes,No Risk
6460,male,47,free,2,skilled,1,yes,yes,Risk
6818,male,41,free,3,skilled,2,yes,yes,Risk
996,female,32,rent,1,unemployed,1,none,yes,No Risk
5267,female,51,own,3,skilled,1,yes,yes,Risk
7682,male,41,own,1,unskilled,1,yes,yes,Risk
5057,female,53,own,2,skilled,1,none,yes,No Risk
2338,male,39,free,1,skilled,1,none,yes,No Risk
4524,male,49,rent,2,unskilled,2,yes,yes,No Risk
2306,female,25,own,1,skilled,1,none,yes,No Risk
4625,male,43,own,2,skilled,1,none,yes,Risk
7665,male,54,free,3,skilled,2,yes,no,Risk
6282,male,43,own,2,skilled,1,none,yes,No Risk
3496,female,41,own,2,skilled,1,none,yes,No Risk
250,male,22,own,1,skilled,1,none,yes,No Risk
3787,female,38,free,2,skilled,1,yes,yes,Risk
6203,female,39,own,2,unskilled,2,yes,yes,No Risk
723,male,34,own,1,skilled,1,none,yes,No Risk
6651,female,40,own,1,skilled,1,none,yes,Risk
3589,female,45,free,1,unemployed,1,yes,yes,No Risk
1718,female,27,own,1,skilled,1,none,yes,No Risk
2405,female,46,own,1,skilled,1,none,yes,Risk
4273,female,29,own,1,skilled,1,none,yes,No Risk
2042,female,53,free,1,skilled,1,yes,yes,Risk
1964,male,36,own,1,skilled,1,none,yes,No Risk
250,female,28,rent,1,unemployed,1,none,yes,No Risk
3917,male,29,own,1,skilled,1,none,yes,No Risk
6172,female,38,free,2,skilled,1,none,yes,Risk
8281,male,56,own,2,skilled,2,yes,yes,Risk
2892,male,25,own,1,skilled,1,yes,yes,No Risk
5776,female,70,free,2,unskilled,1,yes,yes,Risk
2579,female,52,own,2,skilled,1,yes,yes,Risk
4523,male,37,own,2,unskilled,1,yes,yes,Risk
5852,female,41,own,2,unemployed,1,yes,yes,Risk
250,female,19,own,1,skilled,1,none,yes,No Risk
4901,female,42,own,1,skilled,1,none,yes,No Risk
250,female,22,own,1,skilled,1,none,yes,No Risk
1445,female,41,rent,1,skilled,1,none,yes,No Risk
2160,female,20,own,1,skilled,1,none,yes,No Risk
7261,male,65,own,2,unskilled,1,yes,no,Risk
3473,male,35,own,2,skilled,1,yes,yes,No Risk
250,male,23,rent,1,skilled,1,none,yes,No Risk
2527,male,37,own,1,skilled,1,none,yes,No Risk
2901,male,44,own,1,skilled,1,yes,yes,No Risk
3714,female,41,own,2,unemployed,1,yes,yes,Risk
3410,female,22,rent,1,unemployed,1,none,yes,No Risk
993,female,25,own,1,skilled,1,none,yes,No Risk
5765,male,53,own,2,skilled,1,none,yes,No Risk
5887,male,47,free,2,skilled,1,yes,yes,Risk
3364,female,44,rent,2,skilled,2,yes,yes,No Risk
4493,male,27,own,1,unskilled,1,yes,yes,No Risk
1721,male,29,rent,2,unskilled,1,yes,yes,No Risk
250,male,20,own,1,skilled,1,none,yes,No Risk
3397,female,36,own,2,unskilled,1,none,yes,Risk
3027,male,31,own,1,skilled,2,yes,yes,No Risk
5787,female,36,own,1,skilled,1,yes,yes,No Risk
5866,female,41,free,3,skilled,2,yes,yes,Risk
842,female,19,rent,1,skilled,1,none,yes,No Risk
250,male,29,rent,1,skilled,1,none,yes,No Risk
2380,female,28,rent,1,skilled,1,none,yes,No Risk
1507,female,23,own,1,skilled,1,none,yes,No Risk
1103,female,24,rent,1,skilled,1,none,yes,No Risk
2276,male,36,own,2,skilled,1,yes,yes,No Risk
4803,male,47,own,2,skilled,1,yes,yes,Risk
1801,male,34,own,1,skilled,1,yes,yes,Risk
250,female,32,own,1,skilled,1,none,yes,No Risk
3240,male,42,free,2,skilled,1,yes,yes,Risk
523,male,19,rent,1,unskilled,1,none,yes,No Risk
250,male,27,rent,1,skilled,1,none,yes,No Risk
2976,female,49,own,1,skilled,1,yes,yes,Risk
250,female,31,own,1,skilled,1,none,yes,No Risk
3786,male,35,own,2,skilled,1,none,yes,No Risk
250,female,19,rent,1,unemployed,1,none,yes,No Risk
5143,female,26,own,1,unskilled,1,none,yes,No Risk
5018,male,67,own,2,unskilled,2,yes,yes,No Risk
1782,female,33,rent,1,skilled,1,none,yes,No Risk
250,male,21,rent,1,skilled,1,none,yes,No Risk
250,female,27,own,1,skilled,1,yes,yes,Risk
250,male,20,rent,1,unskilled,1,none,yes,No Risk
7031,male,45,own,2,unskilled,2,yes,yes,No Risk
250,male,24,own,1,skilled,1,none,yes,No Risk
7098,male,30,own,1,skilled,1,yes,yes,Risk
2531,female,44,own,2,unemployed,2,yes,yes,No Risk
6029,female,44,own,1,skilled,1,yes,yes,No Risk
426,male,30,own,1,skilled,1,none,yes,No Risk
7687,male,49,free,2,skilled,1,yes,yes,Risk
8284,male,54,free,2,skilled,2,yes,yes,Risk
2243,male,46,own,2,skilled,2,yes,yes,Risk
1070,female,38,own,1,skilled,1,yes,yes,Risk
1843,male,33,own,2,skilled,2,none,yes,Risk
3316,male,27,rent,1,skilled,1,none,yes,Risk
5835,male,54,free,3,skilled,2,yes,yes,Risk
1605,male,39,own,1,skilled,1,none,yes,No Risk
4351,male,37,free,2,skilled,1,yes,yes,No Risk
250,female,30,own,1,skilled,1,none,yes,No Risk
2410,male,39,own,1,skilled,1,none,yes,No Risk
2668,male,39,own,2,unskilled,1,yes,yes,No Risk
6509,male,62,free,2,skilled,2,yes,yes,Risk
3690,female,37,free,2,skilled,1,none,yes,Risk
1982,female,31,own,1,skilled,1,none,yes,No Risk
576,male,29,own,1,skilled,1,none,yes,Risk
1459,male,41,own,2,unskilled,1,yes,yes,No Risk
250,male,24,rent,1,skilled,1,none,yes,No Risk
973,female,30,own,1,skilled,1,none,yes,Risk
250,male,24,own,1,skilled,1,yes,yes,No Risk
636,female,31,own,2,skilled,1,yes,yes,No Risk
250,female,48,own,2,skilled,1,none,yes,No Risk
250,male,27,rent,1,unskilled,1,none,yes,No Risk
5697,female,45,own,3,skilled,2,yes,yes,No Risk
1079,female,35,own,2,skilled,2,yes,yes,No Risk
1426,female,22,own,1,skilled,1,none,yes,No Risk
3998,male,36,own,2,skilled,1,none,yes,No Risk
250,male,20,rent,1,skilled,1,none,yes,No Risk
6830,male,33,own,2,skilled,2,yes,yes,No Risk
1849,female,19,rent,1,unskilled,1,none,yes,No Risk
9963,male,55,own,2,skilled,1,yes,yes,Risk
5206,female,35,own,1,skilled,1,none,yes,Risk
250,female,19,rent,1,skilled,1,none,yes,No Risk
2112,female,34,own,2,skilled,1,none,yes,No Risk
250,female,24,rent,1,skilled,1,none,yes,No Risk
7157,male,47,free,2,skilled,1,yes,yes,Risk
4053,male,45,own,2,skilled,1,none,yes,Risk
2480,male,28,own,2,skilled,1,none,yes,Risk
4947,male,33,own,1,unskilled,1,yes,yes,Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
2881,male,29,rent,1,skilled,1,none,yes,Risk
6943,male,61,own,2,unemployed,2,yes,yes,Risk
250,female,21,rent,1,skilled,1,none,yes,Risk
3060,female,36,own,2,skilled,1,yes,yes,No Risk
827,male,36,own,1,skilled,1,yes,no,Risk
2663,female,41,rent,2,unemployed,1,yes,no,No Risk
5475,female,43,own,2,skilled,1,yes,yes,Risk
4412,female,36,rent,1,unskilled,1,none,yes,Risk
1851,female,22,own,1,skilled,1,none,yes,No Risk
2873,male,40,rent,2,skilled,1,none,yes,Risk
2223,female,27,rent,1,skilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
5859,female,49,own,2,skilled,1,yes,yes,No Risk
514,male,31,rent,1,unemployed,1,none,yes,Risk
5929,male,44,own,2,skilled,1,yes,yes,No Risk
4452,male,46,own,2,skilled,1,none,yes,No Risk
5426,female,37,rent,2,skilled,1,none,yes,No Risk
377,female,19,own,1,skilled,1,none,yes,No Risk
2309,female,37,own,2,unskilled,1,yes,yes,Risk
4629,female,46,free,2,skilled,1,none,yes,Risk
250,male,19,own,1,skilled,1,none,yes,No Risk
4877,female,48,own,1,skilled,1,yes,yes,No Risk
250,female,19,own,1,skilled,1,none,yes,No Risk
2296,female,26,rent,1,unskilled,1,none,yes,No Risk
250,male,34,rent,1,skilled,1,yes,yes,No Risk
4795,male,33,free,2,skilled,1,yes,yes,No Risk
8497,male,49,free,2,skilled,2,yes,yes,Risk
1753,male,37,own,1,skilled,1,yes,yes,Risk
649,female,23,rent,1,skilled,1,none,yes,No Risk
250,female,28,own,1,skilled,1,none,yes,No Risk
5822,male,39,own,2,unskilled,2,yes,yes,No Risk
5009,male,45,own,2,skilled,1,none,yes,No Risk
250,female,27,rent,1,skilled,1,none,yes,No Risk
5583,female,49,own,2,unemployed,1,yes,yes,Risk
1671,female,19,rent,1,skilled,1,none,yes,No Risk
8141,male,53,free,2,skilled,1,yes,yes,Risk
7347,male,44,own,2,skilled,2,yes,yes,Risk
6816,male,41,free,2,skilled,2,yes,yes,Risk
7400,male,50,own,2,skilled,2,yes,yes,Risk
691,female,19,rent,1,unskilled,1,none,yes,No Risk
3548,male,37,own,2,skilled,1,none,yes,No Risk
1529,female,32,own,1,skilled,1,none,yes,No Risk
2131,male,49,own,2,skilled,1,yes,yes,No Risk
3315,female,35,own,1,skilled,1,yes,yes,No Risk
670,male,29,rent,1,skilled,1,none,yes,No Risk
3044,male,46,own,1,skilled,1,none,yes,Risk
5663,male,40,own,3,unemployed,2,yes,yes,No Risk
3638,female,26,own,1,skilled,1,none,yes,No Risk
1129,female,37,rent,2,unemployed,2,yes,yes,No Risk
6502,female,54,own,1,skilled,1,none,yes,No Risk
6762,male,49,own,2,skilled,2,yes,yes,No Risk
250,male,19,rent,1,unskilled,1,none,yes,No Risk
5650,male,45,own,2,skilled,1,yes,yes,Risk
1553,male,44,own,1,skilled,1,none,yes,No Risk
2165,female,37,own,1,unskilled,1,none,yes,Risk
405,female,24,own,1,skilled,1,none,yes,No Risk
2476,male,28,own,2,skilled,2,yes,yes,No Risk
828,female,19,own,1,unskilled,1,none,yes,No Risk
288,female,37,own,1,unskilled,1,none,yes,No Risk
3451,male,32,own,2,unskilled,2,yes,yes,No Risk
1993,male,21,rent,1,unskilled,1,none,yes,No Risk
250,male,24,rent,1,skilled,1,none,yes,No Risk
6327,male,38,own,2,skilled,1,yes,yes,Risk
1598,female,19,rent,1,skilled,1,none,yes,No Risk
250,female,19,rent,1,skilled,1,none,yes,No Risk
2257,male,22,own,1,skilled,1,none,yes,No Risk
4862,male,46,own,2,skilled,1,yes,yes,No Risk
1138,female,27,own,1,skilled,1,none,yes,No Risk
250,female,41,own,1,skilled,1,yes,no,No Risk
250,male,22,rent,1,unskilled,1,none,yes,No Risk
1931,female,43,own,2,skilled,1,yes,yes,No Risk
2387,male,22,free,1,skilled,1,none,yes,Risk
4275,female,31,own,1,skilled,1,none,yes,No Risk
3161,male,34,own,1,skilled,1,yes,yes,No Risk
1292,male,20,rent,1,skilled,1,none,yes,No Risk
1959,male,24,own,1,skilled,1,none,yes,Risk
250,male,29,rent,1,skilled,1,none,yes,No Risk
723,male,37,rent,1,skilled,1,none,yes,No Risk
2202,female,21,rent,1,skilled,1,none,yes,No Risk
1372,female,24,own,1,skilled,1,none,yes,No Risk
5071,male,38,own,1,skilled,2,yes,yes,No Risk
653,female,24,own,1,unemployed,1,none,yes,No Risk
4892,male,31,own,2,unemployed,1,none,yes,No Risk
250,male,22,rent,1,skilled,1,none,yes,No Risk
1704,female,23,rent,1,unskilled,1,none,yes,No Risk
250,female,19,own,1,skilled,1,none,yes,No Risk
9175,male,55,own,3,skilled,2,none,yes,Risk
250,male,19,rent,1,unskilled,1,none,yes,No Risk
5964,male,49,rent,2,unemployed,2,none,yes,Risk
5071,male,29,own,1,skilled,1,none,yes,No Risk
4508,female,35,own,2,skilled,1,none,yes,Risk
2853,female,37,own,2,skilled,1,none,yes,No Risk
1595,female,21,own,1,skilled,1,none,yes,No Risk
3984,male,29,own,2,skilled,1,yes,yes,No Risk
250,male,26,own,2,unskilled,1,none,yes,No Risk
2256,male,36,rent,1,unskilled,1,none,yes,No Risk
1191,female,30,own,1,skilled,1,none,yes,No Risk
6607,male,53,free,2,unskilled,2,yes,yes,Risk
6199,male,46,own,2,skilled,1,none,yes,No Risk
1347,female,26,own,1,unskilled,1,none,yes,No Risk
250,female,25,own,1,skilled,1,none,yes,No Risk
5170,male,51,free,2,unskilled,1,yes,yes,Risk
1730,male,33,rent,2,unskilled,1,yes,yes,No Risk
291,male,40,rent,1,skilled,1,none,yes,No Risk
4810,male,44,own,2,skilled,1,none,no,No Risk
4574,female,48,own,2,skilled,1,none,yes,Risk
3962,female,39,free,2,skilled,1,yes,yes,Risk
11254,male,49,own,2,unskilled,2,yes,yes,Risk
7482,male,73,free,2,unemployed,1,yes,yes,Risk
3400,female,48,own,2,unemployed,2,yes,yes,Risk
1021,male,41,own,1,skilled,1,none,yes,No Risk
2807,male,32,own,1,skilled,1,none,yes,No Risk
2484,female,35,own,2,skilled,1,none,yes,No Risk
